Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,UNH,UNH,UNH,UNH,UNH,,,
2025-06-30,2025,6,30,Monday,26,2025-26,300.94,304.23,298.35,303.83,10074100,0.0,303.83,303.83
2025-07-01,2025,7,1,Tuesday,26,2025-26,303.83,318.03,302.97,317.63,17865500,0.04542108912903897,310.73,310.73
2025-07-02,2025,7,2,Wednesday,26,2025-26,312.37,314.01,298.44,299.54,18177200,-0.05696948291943549,307.0,307.0
2025-07-03,2025,7,3,Thursday,26,2025-26,301.76,304.11,300.19,300.5,6161100,0.0032189691677873,305.375,305.375
2025-07-07,2025,7,7,Monday,27,2025-27,299.97,300.56,293.34,295.79,9031200,-0.015686337832539143,303.45799999999997,303.45799999999997
2025-07-08,2025,7,8,Tuesday,27,2025-27,296.29,300.26,295.88,299.67,9613800,0.013137732414344017,302.82666666666665,302.82666666666665
2025-07-09,2025,7,9,Wednesday,27,2025-27,295.28,295.68,290.96,295.01,12816700,-0.01556713813952404,301.71000000000004,301.71000000000004
2025-07-10,2025,7,10,Thursday,27,2025-27,295.16,296.98,288.86,291.7,11355600,-0.011224535291142645,300.45875,300.45875
2025-07-11,2025,7,11,Friday,27,2025-27,292.19,296.19,290.23,296.17,9808200,0.015325129758233524,299.9822222222222,299.9822222222222
2025-07-14,2025,7,14,Monday,28,2025-28,293.77,296.11,291.2,292.74,10681400,-0.01157515696298217,299.258,299.258
2025-07-15,2025,7,15,Tuesday,28,2025-28,291.89,292.84,283.44,284.1,16019000,-0.029509718059972045,297.88000000000005,297.88000000000005
2025-07-16,2025,7,16,Wednesday,28,2025-28,284.92,288.27,283.17,284.86,9714000,0.002673848202719986,296.795,296.795
2025-07-17,2025,7,17,Thursday,28,2025-28,284.71,285.36,276.43,280.56,14792700,-0.015111436600476869,295.54615384615386,295.54615384615386
2025-07-18,2025,7,18,Friday,28,2025-28,280.38,280.56,273.49,275.28,14979700,-0.01881496739026156,294.09857142857146,294.09857142857146
2025-07-21,2025,7,21,Monday,29,2025-29,277.22,279.03,273.87,274.78,10319200,-0.0018043755775171144,292.0235714285714,292.81066666666663
2025-07-22,2025,7,22,Tuesday,29,2025-29,275.26,279.62,274.64,277.69,14600300,0.01059760091576889,289.17071428571427,291.865625
2025-07-23,2025,7,23,Wednesday,29,2025-29,280.0,285.01,277.52,284.88,13111100,0.025882911475870962,288.12357142857144,291.4547058823529
2025-07-24,2025,7,24,Thursday,29,2025-29,275.72,281.67,270.96,271.31,22585200,-0.04762237867114594,286.0385714285714,290.3355555555556
2025-07-25,2025,7,25,Friday,29,2025-29,273.67,278.68,272.64,273.73,16486600,0.008902404580577672,284.46285714285716,289.4615789473684
2025-07-28,2025,7,28,Monday,30,2025-30,276.11,277.57,272.39,274.76,15779400,0.0037714253987908286,282.68357142857144,288.7265
2025-07-29,2025,7,29,Tuesday,30,2025-30,258.77,265.79,253.75,254.26,41706000,-0.07461369234513127,279.77285714285716,287.0852380952381
2025-07-30,2025,7,30,Wednesday,30,2025-30,257.89,259.68,251.39,259.1,22371800,0.01903708714964969,277.4442857142857,285.8131818181818
2025-07-31,2025,7,31,Thursday,30,2025-30,254.58,254.58,241.29,243.05,29606900,-0.06194560443993469,273.65,283.9539130434783
2025-08-01,2025,8,1,Friday,30,2025-30,244.07,244.93,228.48,231.57,39989200,-0.04724304452497197,269.2807142857143,281.77125
2025-08-04,2025,8,4,Monday,31,2025-31,232.03,235.93,230.77,234.69,17427900,0.013500348213069557,265.75142857142856,279.888
2025-08-05,2025,8,5,Tuesday,31,2025-31,234.87,245.5,233.79,244.45,23795900,0.04158024203340038,262.865,278.525
2025-08-06,2025,8,6,Wednesday,31,2025-31,244.1,246.56,238.91,239.37,12946400,-0.020796820169785235,259.92285714285714,277.07481481481483
2025-08-07,2025,8,7,Thursday,31,2025-31,239.99,242.26,233.25,238.29,11369900,-0.004516200139692561,257.2807142857143,275.68964285714287
2025-08-08,2025,8,8,Friday,31,2025-31,238.41,244.53,238.0,244.35,10185700,0.02542196513728845,255.10714285714286,274.60896551724136
2025-08-11,2025,8,11,Monday,32,2025-32,247.25,251.66,245.56,245.79,11779500,0.005898976092420183,252.82857142857142,273.64833333333337
2025-08-12,2025,8,12,Tuesday,32,2025-32,247.39,256.02,247.05,254.75,12171800,0.03645455154979671,250.67642857142854,273.0387096774194
2025-08-13,2025,8,13,Wednesday,32,2025-32,257.49,265.09,256.03,264.72,19480300,0.03914812987047056,250.2057142857143,272.77875
2025-08-14,2025,8,14,Thursday,32,2025-32,265.0,266.71,260.04,264.41,25011100,-0.001177378606248003,249.54,272.5251515151515
